Name,Resource type,Project Id,Display name,Create time,Update time,Status,Folders,Organization,Parent asset type,Parent full resource name,KMS keys,Direct tags,Description,Location,Labels,Network tags,Additional attributes
"//compute.googleapis.com/projects/adtgcp-prd-eng-core-svc-np/zones/us-east4-a/instances/gke-gue4-core-np-highcpu-spot-pool-f2b5f7b4-mcgb","compute.Instance","adtgcp-prd-eng-core-svc-np","gke-gue4-core-np-highcpu-spot-pool-f2b5f7b4-mcgb","2026-08-25T21:12:08Z","null","RUNNING","[folders/853187482839,folders/550372313661,folders/668979129279]","organizations/504887487938","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/adtgcp-prd-eng-core-svc-np","[]","[]","","us-east4-a","{goog-k8s-cluster-name:gue4-core-np,goog-gke-node:,goog-k8s-cluster-location:us-east4,goog-gke-cluster-id-base32:xp37u3tqn5d5bbqv5zh22u4txxrxzrl3lfsuxx4zbpemih6r5fgq,goog-gke-cost-management:,goog-k8s-node-pool-name:highcpu-spot-pool}","[gke-gue4-core-np-bbf7fa6e-node]","{deletionProtection:FALSE,hasFullApiAccess:false,id:394640942711421895,internalIPs:[10.124.4.79],machineType:n2-standard-48,networkInterfaceNames:[nic0],networkInterfaceNetworks:[https://www.googleapis.com/compute/v1/projects/adtgcp-prd-eng-core-svc-np/global/networks/adtgcp-prd-eng-core-svc-np],networkInterfaceStackTypes:[IPV4_ONLY]}"
"//compute.googleapis.com/projects/adtgcp-prd-eng-core-svc-np/zones/us-east4-a/instances/gke-gue4-core-np-highcpu-spot-pool-f2b5f7b4-n2hq","compute.Instance","adtgcp-prd-eng-core-svc-np","gke-gue4-core-np-highcpu-spot-pool-f2b5f7b4-n2hq","2026-08-25T21:03:00Z","null","RUNNING","[folders/853187482839,folders/550372313661,folders/668979129279]","organizations/504887487938","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/adtgcp-prd-eng-core-svc-np","[]","[]","","us-east4-a","{goog-gke-node:,goog-k8s-cluster-name:gue4-core-np,goog-gke-cost-management:,goog-k8s-cluster-location:us-east4,goog-k8s-node-pool-name:highcpu-spot-pool,goog-gke-cluster-id-base32:xp37u3tqn5d5bbqv5zh22u4txxrxzrl3lfsuxx4zbpemih6r5fgq}","[gke-gue4-core-np-bbf7fa6e-node]","{deletionProtection:FALSE,hasFullApiAccess:false,id:3655150917199838699,internalIPs:[10.124.4.32],machineType:n2-standard-48,networkInterfaceNames:[nic0],networkInterfaceNetworks:[https://www.googleapis.com/compute/v1/projects/adtgcp-prd-eng-core-svc-np/global/networks/adtgcp-prd-eng-core-svc-np],networkInterfaceStackTypes:[IPV4_ONLY]}"
"//compute.googleapis.com/projects/adtgcp-ent-dev-mkt-advba-9289/zones/us-central1-a/instances/instance-20260825-155707","compute.Instance","adtgcp-ent-dev-mkt-advba-9289","instance-20260825-155707","2026-08-25T19:58:11Z","null","RUNNING","[folders/457936348047,folders/119982375294,folders/604042064602]","organizations/504887487938","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/adtgcp-ent-dev-mkt-advba-9289","[]","[{tagKey:433637338589/vertex-workbench-instances,tagValue:433637338589/vertex-workbench-instances/prod,tagValueId:tagValues/964956543331}]","","us-central1-a","{resource-name:instance-20260825-155707,consumer-project-id:adtgcp-ent-dev-mkt-advba-9289,notebooks-product:workbench-instances,consumer-project-number:834718269970}","[deeplearning-vm,notebook-instance]","{deletionProtection:FALSE,hasFullApiAccess:true,id:2819393673452604732,internalIPs:[10.118.8.5],machineType:e2-standard-32,networkInterfaceNames:[nic0],networkInterfaceNetworks:[https://www.googleapis.com/compute/v1/projects/adtgcp-cs-enterprise-859a/global/networks/adtgcp-ent-1],networkInterfaceStackTypes:[IPV4_ONLY]}"
"//compute.googleapis.com/projects/adtgcp-prd-eng-core-svc-np/zones/us-east4-a/instances/gke-gue4-core-np-firmware-spot-pool-h-f3fac1f1-t79k","compute.Instance","adtgcp-prd-eng-core-svc-np","gke-gue4-core-np-firmware-spot-pool-h-f3fac1f1-t79k","2026-08-25T19:57:19Z","null","RUNNING","[folders/853187482839,folders/550372313661,folders/668979129279]","organizations/504887487938","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/adtgcp-prd-eng-core-svc-np","[]","[]","","us-east4-a","{goog-k8s-cluster-location:us-east4,goog-k8s-cluster-name:gue4-core-np,goog-gke-node-pool-provisioning-model:on-demand,goog-gke-node:,goog-k8s-node-pool-name:firmware-spot-pool-high,goog-gke-cost-management:,goog-gke-cluster-id-base32:xp37u3tqn5d5bbqv5zh22u4txxrxzrl3lfsuxx4zbpemih6r5fgq}","[gke-gue4-core-np-bbf7fa6e-node]","{deletionProtection:FALSE,hasFullApiAccess:false,id:5366512268724948336,internalIPs:[10.124.4.109],machineType:n2-standard-48,networkInterfaceNames:[nic0],networkInterfaceNetworks:[https://www.googleapis.com/compute/v1/projects/adtgcp-prd-eng-core-svc-np/global/networks/adtgcp-prd-eng-core-svc-np],networkInterfaceStackTypes:[IPV4_ONLY]}"
"//compute.googleapis.com/projects/adtgcp-prd-eng-core-svc-np/zones/us-east4-a/instances/gke-gue4-core-np-firmware-spot-pool-h-f3fac1f1-lsg2","compute.Instance","adtgcp-prd-eng-core-svc-np","gke-gue4-core-np-firmware-spot-pool-h-f3fac1f1-lsg2","2026-08-25T19:43:27Z","null","RUNNING","[folders/853187482839,folders/550372313661,folders/668979129279]","organizations/504887487938","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/adtgcp-prd-eng-core-svc-np","[]","[]","","us-east4-a","{goog-gke-cost-management:,goog-gke-cluster-id-base32:xp37u3tqn5d5bbqv5zh22u4txxrxzrl3lfsuxx4zbpemih6r5fgq,goog-gke-node-pool-provisioning-model:on-demand,goog-k8s-cluster-name:gue4-core-np,goog-k8s-node-pool-name:firmware-spot-pool-high,goog-gke-node:,goog-k8s-cluster-location:us-east4}","[gke-gue4-core-np-bbf7fa6e-node]","{deletionProtection:FALSE,hasFullApiAccess:false,id:3867864687272021680,internalIPs:[10.124.4.34],machineType:n2-standard-48,networkInterfaceNames:[nic0],networkInterfaceNetworks:[https://www.googleapis.com/compute/v1/projects/adtgcp-prd-eng-core-svc-np/global/networks/adtgcp-prd-eng-core-svc-np],networkInterfaceStackTypes:[IPV4_ONLY]}"
"//compute.googleapis.com/projects/adtgcp-prd-eng-apps-shared-np/zones/us-central1-c/instances/gke-guc1-apps-shared-guc1-apps-shared-f7b57e0c-8c4t","compute.Instance","adtgcp-prd-eng-apps-shared-np","gke-guc1-apps-shared-guc1-apps-shared-f7b57e0c-8c4t","2026-08-25T19:35:11Z","null","RUNNING","[folders/1055903590386,folders/573631825964,folders/668979129279]","organizations/504887487938","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/adtgcp-prd-eng-apps-shared-np","[]","[]","","us-central1-c","{goog-gke-cluster-id-base32:cljyiwhsjzgi7ali4vdllugqhnwefxqwcy6efg5vdxa5javrsgnq,goog-k8s-cluster-location:us-central1,goog-k8s-cluster-name:guc1-apps-shared-dev,env:dev,goog-gke-node-pool-provisioning-model:on-demand,goog-gke-cost-management:,component:gke_cluster,service:srv1,goog-k8s-node-pool-name:guc1-apps-shared-dev-speedracer-c2,goog-gke-node:}","[central-region-route,gke-guc1-apps-shared-dev-12d38458-node,guc1-apps-shared-dev-pool]","{deletionProtection:FALSE,hasFullApiAccess:true,id:4486900900624879746,internalIPs:[10.124.166.33],machineType:c2-standard-16,networkInterfaceNames:[nic0],networkInterfaceNetworks:[https://www.googleapis.com/compute/v1/projects/adtgcp-prd-eng-core-svc-np/global/networks/adtgcp-prd-eng-apps-d],networkInterfaceStackTypes:[IPV4_ONLY]}"
"//compute.googleapis.com/projects/adtgcp-prd-eng-core-svc-np/zones/us-east4-a/instances/gke-gue4-core-np-highcpu-spot-pool-f2b5f7b4-8vn5","compute.Instance","adtgcp-prd-eng-core-svc-np","gke-gue4-core-np-highcpu-spot-pool-f2b5f7b4-8vn5","2026-08-25T18:46:38Z","null","RUNNING","[folders/853187482839,folders/550372313661,folders/668979129279]","organizations/504887487938","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/adtgcp-prd-eng-core-svc-np","[]","[]","","us-east4-a","{goog-k8s-cluster-name:gue4-core-np,goog-gke-cluster-id-base32:xp37u3tqn5d5bbqv5zh22u4txxrxzrl3lfsuxx4zbpemih6r5fgq,goog-gke-node:,goog-k8s-cluster-location:us-east4,goog-gke-cost-management:,goog-k8s-node-pool-name:highcpu-spot-pool}","[gke-gue4-core-np-bbf7fa6e-node]","{deletionProtection:FALSE,hasFullApiAccess:false,id:1607064017998732769,internalIPs:[10.124.4.116],machineType:n2-standard-48,networkInterfaceNames:[nic0],networkInterfaceNetworks:[https://www.googleapis.com/compute/v1/projects/adtgcp-prd-eng-core-svc-np/global/networks/adtgcp-prd-eng-core-svc-np],networkInterfaceStackTypes:[IPV4_ONLY]}"
"//compute.googleapis.com/projects/adtgcp-prd-eng-apps-shared-p/zones/us-east4-a/instances/gke-gue4-apps-shared-gue4-speedracer--a38ed575-twjd","compute.Instance","adtgcp-prd-eng-apps-shared-p","gke-gue4-apps-shared-gue4-speedracer--a38ed575-twjd","2026-08-25T16:20:37Z","null","RUNNING","[folders/1055903590386,folders/573631825964,folders/668979129279]","organizations/504887487938","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/adtgcp-prd-eng-apps-shared-p","[]","[]","","us-east4-a","{goog-k8s-cluster-name:gue4-apps-shared-prod,goog-k8s-node-pool-name:gue4-speedracer-c2,goog-gke-node-pool-provisioning-model:on-demand,goog-gke-node:,goog-gke-cluster-id-base32:gvsbqrfzejbanb27sgyhhhjpw7wabzwv76xuo6ebxh5of2fzm5mq,goog-k8s-cluster-location:us-east4,goog-gke-cost-management:,env:prod}","[east-region-route,gke-gue4-apps-shared-prod-35641844-node,gue4-apps-shared-prod-pool]","{deletionProtection:FALSE,hasFullApiAccess:true,id:6708192994670968379,internalIPs:[10.124.118.55],machineType:c2-standard-16,networkInterfaceNames:[nic0],networkInterfaceNetworks:[https://www.googleapis.com/compute/v1/projects/adtgcp-prd-eng-core-svc-p/global/networks/adtgcp-prd-eng-apps-p],networkInterfaceStackTypes:[IPV4_ONLY]}"
"//compute.googleapis.com/projects/adtgcp-prd-eng-apps-shared-p/zones/us-central1-b/instances/gke-guc1-apps-shared-guc1-speedracer--59087ece-5qm4","compute.Instance","adtgcp-prd-eng-apps-shared-p","gke-guc1-apps-shared-guc1-speedracer--59087ece-5qm4","2026-08-25T16:18:25Z","null","RUNNING","[folders/1055903590386,folders/573631825964,folders/668979129279]","organizations/504887487938","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/adtgcp-prd-eng-apps-shared-p","[]","[]","","us-central1-b","{env:prod,goog-gke-node-pool-provisioning-model:on-demand,goog-gke-cluster-id-base32:wuxv7qvozfcejo3j2a7mp5twil5o7nnr4xxevqecooxum3r5kr4a,goog-gke-node:,goog-k8s-node-pool-name:guc1-speedracer-c2,goog-gke-cost-management:,goog-k8s-cluster-location:us-central1,goog-k8s-cluster-name:guc1-apps-shared-prod}","[central-region-route,gke-guc1-apps-shared-prod-b52f5fc2-node,guc1-apps-shared-prod-pool]","{deletionProtection:FALSE,hasFullApiAccess:true,id:7171360287891685054,internalIPs:[10.124.247.204],machineType:c2-standard-16,networkInterfaceNames:[nic0],networkInterfaceNetworks:[https://www.googleapis.com/compute/v1/projects/adtgcp-prd-eng-core-svc-p/global/networks/adtgcp-prd-eng-apps-p],networkInterfaceStackTypes:[IPV4_ONLY]}"
"//compute.googleapis.com/projects/adtgcp-prd-eng-apps-shared-p/zones/us-central1-c/instances/gke-guc1-apps-shared-guc1-speedracer--af4683dc-x22s","compute.Instance","adtgcp-prd-eng-apps-shared-p","gke-guc1-apps-shared-guc1-speedracer--af4683dc-x22s","2026-08-25T16:18:23Z","null","RUNNING","[folders/1055903590386,folders/573631825964,folders/668979129279]","organizations/504887487938","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/adtgcp-prd-eng-apps-shared-p","[]","[]","","us-central1-c","{goog-gke-cost-management:,goog-k8s-cluster-name:guc1-apps-shared-prod,goog-k8s-cluster-location:us-central1,goog-gke-node-pool-provisioning-model:on-demand,goog-k8s-node-pool-name:guc1-speedracer-c2,env:prod,goog-gke-cluster-id-base32:wuxv7qvozfcejo3j2a7mp5twil5o7nnr4xxevqecooxum3r5kr4a,goog-gke-node:}","[central-region-route,gke-guc1-apps-shared-prod-b52f5fc2-node,guc1-apps-shared-prod-pool]","{deletionProtection:FALSE,hasFullApiAccess:true,id:5280994685268033184,internalIPs:[10.124.247.198],machineType:c2-standard-16,networkInterfaceNames:[nic0],networkInterfaceNetworks:[https://www.googleapis.com/compute/v1/projects/adtgcp-prd-eng-core-svc-p/global/networks/adtgcp-prd-eng-apps-p],networkInterfaceStackTypes:[IPV4_ONLY]}"
